🚀 argentina:collection_2_1995_v3           | 2026-03-09T12:24:21 | Status: READY
🚀 argentina:collection_2_1996_v3           | 2026-03-09T12:24:23 | Status: READY
🚀 argentina:collection_2_1997_v3           | 2026-03-09T12:24:24 | Status: READY
🚀 argentina:collection_2_1998_v3           | 2026-03-09T12:24:25 | Status: READY
🚀 argentina:collection_2_1999_v3           | 2026-03-09T12:24:26 | Status: READY
🚀 argentina:collection_2_2000_v3           | 2026-03-09T12:24:26 | Status: READY
🚀 argentina:collection_2_2001_v3           | 2026-03-09T12:24:27 | Status: READY
🚀 argentina:collection_2_2002_v3           | 2026-03-09T12:24:27 | Status: READY
🚀 argentina:collection_2_2003_v3           | 2026-03-09T12:24:28 | Status: READY
🚀 argentina:collection_2_2004_v3           | 2026-03-09T12:24:28 | Status: READY
🚀 argentina:collection_2_2005_v3           | 2026-03-09T12:24:28 | Status: READY
🚀 argentina:collection_2_2006_v3           | 2026-03-09T12:24:28 | Status: READY
🚀 argentina:collection_2_2007_v3           | 2026-03-09T12:24:29 | Status: READY
🚀 argentina:collection_2_2008_v3           | 2026-03-09T12:24:30 | Status: READY
🚀 argentina:collection_2_2009_v3           | 2026-03-09T12:24:30 | Status: READY
🚀 argentina:collection_2_2010_v3           | 2026-03-09T12:24:31 | Status: READY
🚀 argentina:collection_2_2011_v3           | 2026-03-09T12:24:31 | Status: READY
🚀 argentina:collection_2_2012_v3           | 2026-03-09T12:24:31 | Status: READY
🚀 argentina:collection_2_2013_v3           | 2026-03-09T12:24:32 | Status: READY
🚀 argentina:collection_2_2014_v3           | 2026-03-09T12:24:32 | Status: READY
🚀 argentina:collection_2_2015_v3           | 2026-03-09T12:24:32 | Status: READY
🚀 argentina:collection_2_2016_v3           | 2026-03-09T12:24:33 | Status: READY
🚀 argentina:collection_2_2017_v3           | 2026-03-09T12:24:33 | Status: READY
🚀 argentina:collection_2_2018_v3           | 2026-03-09T12:24:34 | Status: READY
🚀 argentina:collection_2_2019_v3           | 2026-03-09T12:24:34 | Status: READY
🚀 argentina:collection_2_2020_v3           | 2026-03-09T12:24:34 | Status: READY
🚀 argentina:collection_2_2021_v3           | 2026-03-09T12:24:35 | Status: READY
🚀 argentina:collection_2_2022_v3           | 2026-03-09T12:24:35 | Status: READY
🚀 argentina:collection_2_2023_v3           | 2026-03-09T12:24:36 | Status: READY
🚀 argentina:collection_2_2024_v3           | 2026-03-09T12:24:36 | Status: READY
🚀 argentina:collection_2_1985_v3           | 2026-03-09T12:25:06 | Status: READY
🚀 argentina:collection_2_1986_v3           | 2026-03-09T12:25:07 | Status: READY
🚀 argentina:collection_2_1987_v3           | 2026-03-09T12:25:07 | Status: READY
🚀 argentina:collection_2_1988_v3           | 2026-03-09T12:25:07 | Status: READY
🚀 argentina:collection_2_1989_v3           | 2026-03-09T12:25:08 | Status: READY
🚀 argentina:collection_2_1990_v3           | 2026-03-09T12:25:08 | Status: READY
